version,N,threads,run,seconds,checksum
sequential,500,1,1,0.034057,305642569841
sequential,500,1,2,0.034556,305642569841
sequential,500,1,3,0.035949,305642569841
sequential,500,1,4,0.036464,305642569841
sequential,500,1,5,0.037137,305642569841
pthread,500,2,1,0.018352,305642569841
openmp,500,2,1,0.019585,305642569841
pthread,500,2,2,0.018268,305642569841
openmp,500,2,2,0.019647,305642569841
pthread,500,2,3,0.018022,305642569841
openmp,500,2,3,0.020060,305642569841
pthread,500,2,4,0.017983,305642569841
openmp,500,2,4,0.019548,305642569841
pthread,500,2,5,0.018461,305642569841
openmp,500,2,5,0.019696,305642569841
pthread,500,4,1,0.009591,305642569841
openmp,500,4,1,0.010085,305642569841
pthread,500,4,2,0.009493,305642569841
openmp,500,4,2,0.010393,305642569841
pthread,500,4,3,0.009252,305642569841
openmp,500,4,3,0.009858,305642569841
pthread,500,4,4,0.009003,305642569841
openmp,500,4,4,0.009910,305642569841
pthread,500,4,5,0.009023,305642569841
openmp,500,4,5,0.010270,305642569841
pthread,500,8,1,0.006955,305642569841
openmp,500,8,1,0.011030,305642569841
pthread,500,8,2,0.005813,305642569841
openmp,500,8,2,0.006045,305642569841
pthread,500,8,3,0.004704,305642569841
openmp,500,8,3,0.006179,305642569841
pthread,500,8,4,0.007063,305642569841
openmp,500,8,4,0.008820,305642569841
pthread,500,8,5,0.005760,305642569841
openmp,500,8,5,0.006101,305642569841
pthread,500,16,1,0.005208,305642569841
openmp,500,16,1,0.007843,305642569841
pthread,500,16,2,0.005029,305642569841
openmp,500,16,2,0.006702,305642569841
pthread,500,16,3,0.005245,305642569841
openmp,500,16,3,0.007301,305642569841
pthread,500,16,4,0.005389,305642569841
openmp,500,16,4,0.006713,305642569841
pthread,500,16,5,0.005307,305642569841
openmp,500,16,5,0.006715,305642569841
pthread,500,32,1,0.004732,305642569841
openmp,500,32,1,0.007028,305642569841
pthread,500,32,2,0.004091,305642569841
openmp,500,32,2,0.010560,305642569841
pthread,500,32,3,0.004319,305642569841
openmp,500,32,3,0.014023,305642569841
pthread,500,32,4,0.004537,305642569841
openmp,500,32,4,0.009938,305642569841
pthread,500,32,5,0.006081,305642569841
openmp,500,32,5,0.020019,305642569841
sequential,1000,1,1,0.394044,2441566030372
sequential,1000,1,2,0.394768,2441566030372
sequential,1000,1,3,0.398514,2441566030372
sequential,1000,1,4,0.393367,2441566030372
sequential,1000,1,5,0.390009,2441566030372
pthread,1000,2,1,0.193956,2441566030372
openmp,1000,2,1,0.196644,2441566030372
pthread,1000,2,2,0.194739,2441566030372
openmp,1000,2,2,0.200164,2441566030372
pthread,1000,2,3,0.196429,2441566030372
openmp,1000,2,3,0.197919,2441566030372
pthread,1000,2,4,0.195579,2441566030372
openmp,1000,2,4,0.197445,2441566030372
pthread,1000,2,5,0.195527,2441566030372
openmp,1000,2,5,0.198792,2441566030372
pthread,1000,4,1,0.098075,2441566030372
openmp,1000,4,1,0.097645,2441566030372
pthread,1000,4,2,0.097227,2441566030372
openmp,1000,4,2,0.097591,2441566030372
pthread,1000,4,3,0.113432,2441566030372
openmp,1000,4,3,0.098613,2441566030372
pthread,1000,4,4,0.101393,2441566030372
openmp,1000,4,4,0.100731,2441566030372
pthread,1000,4,5,0.097651,2441566030372
openmp,1000,4,5,0.098742,2441566030372
pthread,1000,8,1,0.057642,2441566030372
openmp,1000,8,1,0.053280,2441566030372
pthread,1000,8,2,0.054507,2441566030372
openmp,1000,8,2,0.052061,2441566030372
pthread,1000,8,3,0.071814,2441566030372
openmp,1000,8,3,0.063229,2441566030372
pthread,1000,8,4,0.057671,2441566030372
openmp,1000,8,4,0.071191,2441566030372
pthread,1000,8,5,0.072355,2441566030372
openmp,1000,8,5,0.074780,2441566030372
pthread,1000,16,1,0.047822,2441566030372
openmp,1000,16,1,0.054878,2441566030372
pthread,1000,16,2,0.045824,2441566030372
openmp,1000,16,2,0.052502,2441566030372
pthread,1000,16,3,0.045599,2441566030372
openmp,1000,16,3,0.055109,2441566030372
pthread,1000,16,4,0.044918,2441566030372
openmp,1000,16,4,0.054348,2441566030372
pthread,1000,16,5,0.052934,2441566030372
openmp,1000,16,5,0.063257,2441566030372
pthread,1000,32,1,0.040678,2441566030372
openmp,1000,32,1,0.056411,2441566030372
pthread,1000,32,2,0.046600,2441566030372
openmp,1000,32,2,0.057729,2441566030372
pthread,1000,32,3,0.048661,2441566030372
openmp,1000,32,3,0.065072,2441566030372
pthread,1000,32,4,0.047575,2441566030372
openmp,1000,32,4,0.059439,2441566030372
