impl,elements,threads,pivot,median_ms
seq,10000000,1,median3,485.351
seq,50000000,1,median3,2706.656
seq,100000000,1,median3,5841.111
seq,200000000,1,median3,12084.399
omp,10000000,2,median3,325.345
thread,10000000,2,median3,373.275
omp,10000000,4,median3,225.744
thread,10000000,4,median3,276.241
omp,10000000,8,median3,116.953
thread,10000000,8,median3,219.464
omp,10000000,16,median3,85.446
thread,10000000,16,median3,212.388
omp,10000000,24,median3,77.898
thread,10000000,24,median3,150.996
omp,10000000,32,median3,78.826
thread,10000000,32,median3,151.537
omp,50000000,2,median3,1570.082
thread,50000000,2,median3,1537.315
omp,50000000,4,median3,1210.271
thread,50000000,4,median3,1449.256
omp,50000000,8,median3,754.549
thread,50000000,8,median3,1226.260
omp,50000000,16,median3,488.294
thread,50000000,16,median3,1213.488
omp,50000000,24,median3,407.243
thread,50000000,24,median3,986.090
omp,50000000,32,median3,383.810
thread,50000000,32,median3,984.213
omp,100000000,2,median3,3065.186
thread,100000000,2,median3,3059.978
omp,100000000,4,median3,1771.681
thread,100000000,4,median3,1815.042
omp,100000000,8,median3,1259.878
thread,100000000,8,median3,1411.927
omp,100000000,16,median3,925.974
thread,100000000,16,median3,1286.939
omp,100000000,24,median3,800.709
thread,100000000,24,median3,1076.925
omp,100000000,32,median3,726.341
thread,100000000,32,median3,1063.472
omp,200000000,2,median3,6354.380
thread,200000000,2,median3,6235.799
omp,200000000,4,median3,3704.617
thread,200000000,4,median3,5758.124
omp,200000000,8,median3,2695.367
thread,200000000,8,median3,4484.563
omp,200000000,16,median3,1846.933
thread,200000000,16,median3,3618.644
omp,200000000,24,median3,1593.227
thread,200000000,24,median3,3100.136
omp,200000000,32,median3,1502.385
thread,200000000,32,median3,3108.313
