workload,rows,mode,producers,consumers,buffer,block,summary,run,ms,checksum,records
small,2016000,seq,1,0,0,0,none,1,37.0113,11533792086335220532,2016000
small,2016000,seq,1,0,0,0,none,2,38.2783,11533792086335220532,2016000
small,2016000,seq,1,0,0,0,none,3,37.4251,11533792086335220532,2016000
small,2016000,seq,1,0,0,0,none,4,37.1313,11533792086335220532,2016000
small,2016000,seq,1,0,0,0,none,5,37.7678,11533792086335220532,2016000
small,2016000,par,1,1,64,4096,local,1,43.0225,11533792086335220532,2016000
small,2016000,par,1,1,64,4096,local,2,42.1007,11533792086335220532,2016000
small,2016000,par,1,1,64,4096,local,3,43.0541,11533792086335220532,2016000
small,2016000,par,1,1,64,4096,local,4,43.257,11533792086335220532,2016000
small,2016000,par,1,1,64,4096,local,5,42.8192,11533792086335220532,2016000
small,2016000,par,2,2,64,4096,local,1,23.8251,11533792086335220532,2016000
small,2016000,par,2,2,64,4096,local,2,22.4709,11533792086335220532,2016000
small,2016000,par,2,2,64,4096,local,3,22.5341,11533792086335220532,2016000
small,2016000,par,2,2,64,4096,local,4,23.1655,11533792086335220532,2016000
small,2016000,par,2,2,64,4096,local,5,22.7044,11533792086335220532,2016000
small,2016000,par,4,4,64,4096,local,1,12.9593,11533792086335220532,2016000
small,2016000,par,4,4,64,4096,local,2,12.5546,11533792086335220532,2016000
small,2016000,par,4,4,64,4096,local,3,12.7401,11533792086335220532,2016000
small,2016000,par,4,4,64,4096,local,4,12.6632,11533792086335220532,2016000
small,2016000,par,4,4,64,4096,local,5,12.6689,11533792086335220532,2016000
small,2016000,par,8,8,64,4096,local,1,11.0932,11533792086335220532,2016000
small,2016000,par,8,8,64,4096,local,2,10.6423,11533792086335220532,2016000
small,2016000,par,8,8,64,4096,local,3,9.06663,11533792086335220532,2016000
small,2016000,par,8,8,64,4096,local,4,9.29313,11533792086335220532,2016000
small,2016000,par,8,8,64,4096,local,5,9.41628,11533792086335220532,2016000
small,2016000,par,16,16,64,4096,local,1,9.85197,11533792086335220532,2016000
small,2016000,par,16,16,64,4096,local,2,9.08715,11533792086335220532,2016000
small,2016000,par,16,16,64,4096,local,3,8.11485,11533792086335220532,2016000
small,2016000,par,16,16,64,4096,local,4,8.22968,11533792086335220532,2016000
small,2016000,par,16,16,64,4096,local,5,8.85468,11533792086335220532,2016000
small,2016000,par,8,2,64,4096,local,1,7.84289,11533792086335220532,2016000
small,2016000,par,8,2,64,4096,local,2,8.46598,11533792086335220532,2016000
small,2016000,par,8,2,64,4096,local,3,6.93814,11533792086335220532,2016000
small,2016000,par,8,2,64,4096,local,4,8.17596,11533792086335220532,2016000
small,2016000,par,8,2,64,4096,local,5,7.00168,11533792086335220532,2016000
small,2016000,par,2,8,64,4096,local,1,22.2081,11533792086335220532,2016000
small,2016000,par,2,8,64,4096,local,2,22.0714,11533792086335220532,2016000
small,2016000,par,2,8,64,4096,local,3,22.1163,11533792086335220532,2016000
small,2016000,par,2,8,64,4096,local,4,22.1845,11533792086335220532,2016000
small,2016000,par,2,8,64,4096,local,5,22.6827,11533792086335220532,2016000
small,2016000,par,8,8,4,4096,local,1,9.81817,11533792086335220532,2016000
small,2016000,par,8,8,4,4096,local,2,9.843,11533792086335220532,2016000
small,2016000,par,8,8,4,4096,local,3,9.04669,11533792086335220532,2016000
small,2016000,par,8,8,4,4096,local,4,9.43097,11533792086335220532,2016000
small,2016000,par,8,8,4,4096,local,5,8.62548,11533792086335220532,2016000
small,2016000,par,8,8,256,4096,local,1,8.68853,11533792086335220532,2016000
small,2016000,par,8,8,256,4096,local,2,8.84508,11533792086335220532,2016000
small,2016000,par,8,8,256,4096,local,3,8.39348,11533792086335220532,2016000
small,2016000,par,8,8,256,4096,local,4,8.46833,11533792086335220532,2016000
small,2016000,par,8,8,256,4096,local,5,8.14497,11533792086335220532,2016000
small,2016000,par,8,8,64,256,local,1,65.4732,11533792086335220532,2016000
small,2016000,par,8,8,64,256,local,2,67.7903,11533792086335220532,2016000
small,2016000,par,8,8,64,256,local,3,66.2496,11533792086335220532,2016000
small,2016000,par,8,8,64,256,local,4,66.8777,11533792086335220532,2016000
small,2016000,par,8,8,64,256,local,5,66.4425,11533792086335220532,2016000
small,2016000,par,8,8,64,4096,atomic,1,9.11614,11533792086335220532,2016000
small,2016000,par,8,8,64,4096,atomic,2,9.25203,11533792086335220532,2016000
small,2016000,par,8,8,64,4096,atomic,3,8.59748,11533792086335220532,2016000
small,2016000,par,8,8,64,4096,atomic,4,8.5332,11533792086335220532,2016000
small,2016000,par,8,8,64,4096,atomic,5,8.8274,11533792086335220532,2016000
small,2016000,par,8,8,64,4096,shared,1,75.9931,11533792086335220532,2016000
small,2016000,par,8,8,64,4096,shared,2,68.3326,11533792086335220532,2016000
small,2016000,par,8,8,64,4096,shared,3,74.4012,11533792086335220532,2016000
small,2016000,par,8,8,64,4096,shared,4,78.8932,11533792086335220532,2016000
small,2016000,par,8,8,64,4096,shared,5,73.9364,11533792086335220532,2016000
medium,20160000,seq,1,0,0,0,none,1,372.648,4461579235480396692,20160000
medium,20160000,seq,1,0,0,0,none,2,368.671,4461579235480396692,20160000
medium,20160000,seq,1,0,0,0,none,3,368.78,4461579235480396692,20160000
medium,20160000,seq,1,0,0,0,none,4,373.012,4461579235480396692,20160000
medium,20160000,seq,1,0,0,0,none,5,370.345,4461579235480396692,20160000
medium,20160000,par,1,1,64,4096,local,1,422.841,4461579235480396692,20160000
medium,20160000,par,1,1,64,4096,local,2,420.059,4461579235480396692,20160000
medium,20160000,par,1,1,64,4096,local,3,424.1,4461579235480396692,20160000
medium,20160000,par,1,1,64,4096,local,4,419.093,4461579235480396692,20160000
medium,20160000,par,1,1,64,4096,local,5,416.657,4461579235480396692,20160000
medium,20160000,par,2,2,64,4096,local,1,219.446,4461579235480396692,20160000
medium,20160000,par,2,2,64,4096,local,2,215.945,4461579235480396692,20160000
medium,20160000,par,2,2,64,4096,local,3,216.534,4461579235480396692,20160000
medium,20160000,par,2,2,64,4096,local,4,216.298,4461579235480396692,20160000
medium,20160000,par,2,2,64,4096,local,5,216.512,4461579235480396692,20160000
medium,20160000,par,4,4,64,4096,local,1,116.307,4461579235480396692,20160000
medium,20160000,par,4,4,64,4096,local,2,116.258,4461579235480396692,20160000
medium,20160000,par,4,4,64,4096,local,3,114.406,4461579235480396692,20160000
medium,20160000,par,4,4,64,4096,local,4,116.052,4461579235480396692,20160000
medium,20160000,par,4,4,64,4096,local,5,117.916,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,local,1,79.6441,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,local,2,74.4873,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,local,3,79.5871,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,local,4,83.6988,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,local,5,84.4788,4461579235480396692,20160000
medium,20160000,par,16,16,64,4096,local,1,66.0001,4461579235480396692,20160000
medium,20160000,par,16,16,64,4096,local,2,66.9684,4461579235480396692,20160000
medium,20160000,par,16,16,64,4096,local,3,67.295,4461579235480396692,20160000
medium,20160000,par,16,16,64,4096,local,4,64.5723,4461579235480396692,20160000
medium,20160000,par,16,16,64,4096,local,5,64.3241,4461579235480396692,20160000
medium,20160000,par,8,2,64,4096,local,1,65.5048,4461579235480396692,20160000
medium,20160000,par,8,2,64,4096,local,2,64.8003,4461579235480396692,20160000
