mode,procs,size,generate_us,scatter_us,add_us,gather_us,reduce_us,total_us
sequential,1,100000000,,,,,,2364874
sequential,1,100000000,,,,,,2160780
sequential,1,100000000,,,,,,2148139
sequential,1,100000000,,,,,,2186344
sequential,1,100000000,,,,,,2241554
mpi-local,1,100000000,2102031,233571,152442,148239,29853,2636284
mpi-local,1,100000000,2105862,205208,114613,94634,28936,2520319
mpi-local,1,100000000,2101600,191740,112771,94240,30531,2500352
mpi-local,1,100000000,2174016,207534,116344,93585,29930,2591481
mpi-local,1,100000000,2162752,192278,114123,94239,28340,2563395
mpi-local,2,100000000,2150545,214071,60031,104443,15537,2529091
mpi-local,2,100000000,2134538,212816,61582,102863,15434,2511801
mpi-local,2,100000000,2118567,214164,60349,101537,14428,2494618
mpi-local,2,100000000,2131021,207199,60773,102073,15417,2501067
mpi-local,2,100000000,2131954,209820,61083,102596,14943,2505454
mpi-local,4,100000000,2173856,240780,38799,105945,10903,2559382
mpi-local,4,100000000,2083930,214287,36529,102067,8166,2436814
mpi-local,4,100000000,2116832,215380,31300,100593,8307,2464106
mpi-local,4,100000000,2188069,233862,37036,103228,8445,2562196
mpi-local,4,100000000,2073211,217056,35505,102308,8713,2428081
mpi-local,8,100000000,2340894,281518,29613,153350,11761,2805376
mpi-local,8,100000000,2501786,271716,33044,170580,79727,2977128
mpi-local,8,100000000,2457520,301147,35060,177019,9511,2970748
mpi-local,8,100000000,2347401,2142808,36540,141211,12018,4667961
mpi-local,8,100000000,2324840,295330,35809,184472,13129,2840452
