version,N,procs,threads,generate_us,distribute_us,compute_us,gather_us,seconds,checksum,verify,run,command
sequential,100,1,1,,,,,0.000316,2472987609,checksum-only,1,"./matrix_seq 100"
sequential,100,1,1,,,,,0.000264,2472987609,checksum-only,2,"./matrix_seq 100"
sequential,100,1,1,,,,,0.000265,2472987609,checksum-only,3,"./matrix_seq 100"
openmp,100,1,1,,,,,0.000297,2472987609,checksum-only,1,"./matrix_omp 100 1"
openmp,100,1,1,,,,,0.000283,2472987609,checksum-only,2,"./matrix_omp 100 1"
openmp,100,1,1,,,,,0.000286,2472987609,checksum-only,3,"./matrix_omp 100 1"
openmp,100,1,2,,,,,0.000192,2472987609,checksum-only,1,"./matrix_omp 100 2"
openmp,100,1,2,,,,,0.000192,2472987609,checksum-only,2,"./matrix_omp 100 2"
openmp,100,1,2,,,,,0.000196,2472987609,checksum-only,3,"./matrix_omp 100 2"
openmp,100,1,4,,,,,0.000183,2472987609,checksum-only,1,"./matrix_omp 100 4"
openmp,100,1,4,,,,,0.000166,2472987609,checksum-only,2,"./matrix_omp 100 4"
openmp,100,1,4,,,,,0.000181,2472987609,checksum-only,3,"./matrix_omp 100 4"
openmp,100,1,8,,,,,0.000574,2472987609,checksum-only,1,"./matrix_omp 100 8"
openmp,100,1,8,,,,,0.000316,2472987609,checksum-only,2,"./matrix_omp 100 8"
openmp,100,1,8,,,,,0.000305,2472987609,checksum-only,3,"./matrix_omp 100 8"
openmp,100,1,16,,,,,0.001181,2472987609,checksum-only,1,"./matrix_omp 100 16"
openmp,100,1,16,,,,,0.000920,2472987609,checksum-only,2,"./matrix_omp 100 16"
openmp,100,1,16,,,,,0.001500,2472987609,checksum-only,3,"./matrix_omp 100 16"
openmp,100,1,32,,,,,0.005389,2472987609,checksum-only,1,"./matrix_omp 100 32"
openmp,100,1,32,,,,,0.007635,2472987609,checksum-only,2,"./matrix_omp 100 32"
openmp,100,1,32,,,,,0.019493,2472987609,checksum-only,3,"./matrix_omp 100 32"
mpi,100,1,1,225,16,284,4,0.000306,2472987609,ok,1,"mpirun -np 1 ./matrix_mpi 100"
mpi,100,1,1,248,17,285,5,0.000308,2472987609,ok,2,"mpirun -np 1 ./matrix_mpi 100"
mpi,100,1,1,249,14,293,5,0.000313,2472987609,ok,3,"mpirun -np 1 ./matrix_mpi 100"
mpi,100,2,1,319,336,198,292,0.000828,2472987609,ok,1,"mpirun -np 2 ./matrix_mpi 100"
mpi,100,2,1,225,262,144,258,0.000665,2472987609,ok,2,"mpirun -np 2 ./matrix_mpi 100"
mpi,100,2,1,225,276,166,215,0.000658,2472987609,ok,3,"mpirun -np 2 ./matrix_mpi 100"
mpi,100,4,1,344,622,83,270,0.000976,2472987609,ok,1,"mpirun -np 4 ./matrix_mpi 100"
mpi,100,4,1,223,545,74,220,0.000840,2472987609,ok,2,"mpirun -np 4 ./matrix_mpi 100"
mpi,100,4,1,301,695,81,236,0.001013,2472987609,ok,3,"mpirun -np 4 ./matrix_mpi 100"
mpi,100,8,1,226,786,105,27,0.000920,2472987609,ok,1,"mpirun -np 8 ./matrix_mpi 100"
mpi,100,8,1,330,1038,98,41,0.001179,2472987609,ok,2,"mpirun -np 8 ./matrix_mpi 100"
