impl,elements,procs,threads,median_ms,scatter_ms,localsort_ms,pivots_ms,exchange_ms,merge_ms,gather_ms,checksum,device,local_ws,run,command
seq,1000000,1,1,42.290,,,,,,,2146409207669040,cpu native,,1,./quicksort_sequential --n 1000000 --runs 1
seq,1000000,1,1,41.826,,,,,,,2146409207669040,cpu native,,2,./quicksort_sequential --n 1000000 --runs 1
seq,1000000,1,1,43.164,,,,,,,2146409207669040,cpu native,,3,./quicksort_sequential --n 1000000 --runs 1
omp,1000000,1,8,11.890,,,,,,,2146409207669040,cpu native,,1,./quicksort_parallel_openmp  --n 1000000 --threads 8 --runs 1
threads,1000000,1,8,23.225,,,,,,,2146409207669040,cpu native,,1,./quicksort_parallel_threads --n 1000000 --threads 8 --runs 1
omp,1000000,1,8,12.290,,,,,,,2146409207669040,cpu native,,2,./quicksort_parallel_openmp  --n 1000000 --threads 8 --runs 1
threads,1000000,1,8,23.261,,,,,,,2146409207669040,cpu native,,2,./quicksort_parallel_threads --n 1000000 --threads 8 --runs 1
omp,1000000,1,8,12.310,,,,,,,2146409207669040,cpu native,,3,./quicksort_parallel_openmp  --n 1000000 --threads 8 --runs 1
threads,1000000,1,8,23.368,,,,,,,2146409207669040,cpu native,,3,./quicksort_parallel_threads --n 1000000 --threads 8 --runs 1
omp,1000000,1,16,13.442,,,,,,,2146409207669040,cpu native,,1,./quicksort_parallel_openmp  --n 1000000 --threads 16 --runs 1
threads,1000000,1,16,18.563,,,,,,,2146409207669040,cpu native,,1,./quicksort_parallel_threads --n 1000000 --threads 16 --runs 1
omp,1000000,1,16,10.604,,,,,,,2146409207669040,cpu native,,2,./quicksort_parallel_openmp  --n 1000000 --threads 16 --runs 1
threads,1000000,1,16,18.405,,,,,,,2146409207669040,cpu native,,2,./quicksort_parallel_threads --n 1000000 --threads 16 --runs 1
omp,1000000,1,16,14.028,,,,,,,2146409207669040,cpu native,,3,./quicksort_parallel_openmp  --n 1000000 --threads 16 --runs 1
threads,1000000,1,16,18.422,,,,,,,2146409207669040,cpu native,,3,./quicksort_parallel_threads --n 1000000 --threads 16 --runs 1
omp,1000000,1,32,20.725,,,,,,,2146409207669040,cpu native,,1,./quicksort_parallel_openmp  --n 1000000 --threads 32 --runs 1
threads,1000000,1,32,15.799,,,,,,,2146409207669040,cpu native,,1,./quicksort_parallel_threads --n 1000000 --threads 32 --runs 1
omp,1000000,1,32,11.791,,,,,,,2146409207669040,cpu native,,2,./quicksort_parallel_openmp  --n 1000000 --threads 32 --runs 1
threads,1000000,1,32,16.015,,,,,,,2146409207669040,cpu native,,2,./quicksort_parallel_threads --n 1000000 --threads 32 --runs 1
omp,1000000,1,32,11.548,,,,,,,2146409207669040,cpu native,,3,./quicksort_parallel_openmp  --n 1000000 --threads 32 --runs 1
threads,1000000,1,32,15.849,,,,,,,2146409207669040,cpu native,,3,./quicksort_parallel_threads --n 1000000 --threads 32 --runs 1
mpi,1000000,1,1,43.949,0.198,42.439,0.000,1.131,0.000,0.181,2146409207669040,cpu native,,1,/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./quicksort_mpi --n 1000000 --runs 1
mpi,1000000,1,1,44.424,0.264,42.854,0.001,1.108,0.000,0.197,2146409207669040,cpu native,,2,/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./quicksort_mpi --n 1000000 --runs 1
mpi,1000000,1,1,44.671,0.199,43.122,0.000,1.142,0.000,0.207,2146409207669040,cpu native,,3,/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./quicksort_mpi --n 1000000 --runs 1
mpi,1000000,2,1,24.000,0.466,20.816,0.012,0.932,1.567,0.207,2146409207669040,cpu native,,1,/home/michael_pappas/anaconda3/bin/mpirun -np 2 ./quicksort_mpi --n 1000000 --runs 1
mpi,1000000,2,1,23.928,0.454,20.764,0.013,0.922,1.574,0.202,2146409207669040,cpu native,,2,/home/michael_pappas/anaconda3/bin/mpirun -np 2 ./quicksort_mpi --n 1000000 --runs 1
mpi,1000000,2,1,23.900,0.444,20.767,0.012,0.887,1.592,0.197,2146409207669040,cpu native,,3,/home/michael_pappas/anaconda3/bin/mpirun -np 2 ./quicksort_mpi --n 1000000 --runs 1
mpi,1000000,4,1,12.911,0.497,10.167,0.013,0.699,1.253,0.283,2146409207669040,cpu native,,1,/home/michael_pappas/anaconda3/bin/mpirun -np 4 ./quicksort_mpi --n 1000000 --runs 1
mpi,1000000,4,1,13.098,0.578,9.816,0.063,0.791,1.504,0.346,2146409207669040,cpu native,,2,/home/michael_pappas/anaconda3/bin/mpirun -np 4 ./quicksort_mpi --n 1000000 --runs 1
mpi,1000000,4,1,12.992,0.521,10.143,0.012,0.678,1.355,0.284,2146409207669040,cpu native,,3,/home/michael_pappas/anaconda3/bin/mpirun -np 4 ./quicksort_mpi --n 1000000 --runs 1
mpi,1000000,8,1,9.621,0.937,5.936,0.029,1.243,1.069,0.407,2146409207669040,cpu native,,1,/home/michael_pappas/anaconda3/bin/mpirun -np 8 ./quicksort_mpi --n 1000000 --runs 1
mpi,1000000,8,1,10.713,0.885,6.526,0.104,1.732,1.105,0.361,2146409207669040,cpu native,,2,/home/michael_pappas/anaconda3/bin/mpirun -np 8 ./quicksort_mpi --n 1000000 --runs 1
mpi,1000000,8,1,9.236,0.914,5.219,0.042,1.773,0.960,0.328,2146409207669040,cpu native,,3,/home/michael_pappas/anaconda3/bin/mpirun -np 8 ./quicksort_mpi --n 1000000 --runs 1
mpi,1000000,16,1,7.455,1.023,3.078,0.113,1.738,0.654,0.850,2146409207669040,cpu native,,1,/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./quicksort_mpi --n 1000000 --runs 1
mpi,1000000,16,1,8.160,1.789,2.998,0.283,1.674,0.679,0.737,2146409207669040,cpu native,,2,/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./quicksort_mpi --n 1000000 --runs 1
mpi,1000000,16,1,9.026,1.002,3.188,0.217,2.884,0.694,1.041,2146409207669040,cpu native,,3,/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./quicksort_mpi --n 1000000 --runs 1
mpi+ocl,1000000,1,1,75.650,0.219,73.417,0.000,1.798,0.000,0.215,2146409207669040,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,1,/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./quicksort_mpi_ocl --n 1000000 --runs 1
