experiment,workload,rows,impl,procs,reducers,partition,combiner,keys,shuffle_entries,remote_entries,entry_imbalance,time_imbalance,map_ms,plan_ms,shuffle_ms,reduce_ms,gather_ms,total_ms,checksum,run,command
scaling,small,2016000,m2t3d-seq,1,0,none,,,,,,,,,,,,38.3273,11533792086335220532,1,"./traffic_sim seq --in ../m2t3d/data/traffic_small.csv --print-hours 0 --csv"
scaling,small,2016000,m2t3d-par,16,16,local,,,,,,,,,,,,10.6635,11533792086335220532,1,"./traffic_sim par --in ../m2t3d/data/traffic_small.csv --producers 16 --consumers 16 --print-hours 0 --csv"
scaling,small,2016000,m2t3d-seq,1,0,none,,,,,,,,,,,,37.6476,11533792086335220532,2,"./traffic_sim seq --in ../m2t3d/data/traffic_small.csv --print-hours 0 --csv"
scaling,small,2016000,m2t3d-par,16,16,local,,,,,,,,,,,,11.8591,11533792086335220532,2,"./traffic_sim par --in ../m2t3d/data/traffic_small.csv --producers 16 --consumers 16 --print-hours 0 --csv"
scaling,small,2016000,m2t3d-seq,1,0,none,,,,,,,,,,,,39.6613,11533792086335220532,3,"./traffic_sim seq --in ../m2t3d/data/traffic_small.csv --print-hours 0 --csv"
scaling,small,2016000,m2t3d-par,16,16,local,,,,,,,,,,,,9.50952,11533792086335220532,3,"./traffic_sim par --in ../m2t3d/data/traffic_small.csv --producers 16 --consumers 16 --print-hours 0 --csv"
scaling,small,2016000,mr,1,1,weighted,on,168000,168000,0,1.0000,1.0000,43.599,0.230,0.814,3.208,0.044,47.894,11533792086335220532,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./traffic_mr --in ../m2t3d/data/traffic_small.csv --partition weighted --print-hours 0 --verify --csv"
scaling,small,2016000,mr,1,1,weighted,on,168000,168000,0,1.0000,1.0000,44.312,0.269,0.753,3.190,0.044,48.568,11533792086335220532,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./traffic_mr --in ../m2t3d/data/traffic_small.csv --partition weighted --print-hours 0 --verify --csv"
scaling,small,2016000,mr,1,1,weighted,on,168000,168000,0,1.0000,1.0000,43.843,0.236,0.797,3.286,0.051,48.212,11533792086335220532,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./traffic_mr --in ../m2t3d/data/traffic_small.csv --partition weighted --print-hours 0 --verify --csv"
scaling,small,2016000,mr,2,2,weighted,on,168000,168007,7,1.0000,1.0029,26.804,0.223,1.285,1.601,0.049,29.963,11533792086335220532,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 2 ./traffic_mr --in ../m2t3d/data/traffic_small.csv --partition weighted --print-hours 0 --verify --csv"
scaling,small,2016000,mr,2,2,weighted,on,168000,168007,7,1.0000,1.0093,22.553,0.326,1.284,1.613,0.052,25.828,11533792086335220532,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 2 ./traffic_mr --in ../m2t3d/data/traffic_small.csv --partition weighted --print-hours 0 --verify --csv"
scaling,small,2016000,mr,2,2,weighted,on,168000,168007,7,1.0000,1.0131,22.036,0.218,1.215,1.588,0.045,25.103,11533792086335220532,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 2 ./traffic_mr --in ../m2t3d/data/traffic_small.csv --partition weighted --print-hours 0 --verify --csv"
scaling,small,2016000,mr,4,4,weighted,on,168000,168656,656,1.0038,1.1001,13.426,0.371,0.872,0.947,0.065,15.681,11533792086335220532,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 4 ./traffic_mr --in ../m2t3d/data/traffic_small.csv --partition weighted --print-hours 0 --verify --csv"
scaling,small,2016000,mr,4,4,weighted,on,168000,168656,656,1.0038,1.0239,13.676,0.431,0.813,0.812,0.047,15.780,11533792086335220532,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 4 ./traffic_mr --in ../m2t3d/data/traffic_small.csv --partition weighted --print-hours 0 --verify --csv"
scaling,small,2016000,mr,4,4,weighted,on,168000,168656,656,1.0038,1.0254,13.534,0.226,0.762,0.836,0.043,15.400,11533792086335220532,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 4 ./traffic_mr --in ../m2t3d/data/traffic_small.csv --partition weighted --print-hours 0 --verify --csv"
scaling,small,2016000,mr,8,8,weighted,on,168000,169806,1806,1.0129,2.0081,11.747,0.407,0.988,1.122,0.088,14.353,11533792086335220532,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 8 ./traffic_mr --in ../m2t3d/data/traffic_small.csv --partition weighted --print-hours 0 --verify --csv"
