experiment,scenario,run,backend,threads,block,cost,rebalance,city,link_cells,ticks,spawned,exited,parked,active,wall_ms,ms_per_tick,real_time_ratio,phase_a_ms,phase_b_ms,sync_ms,imbalance,window_imbalance,migration,repartitions,compile_ms,write_ms,state,sensor,exit,max_rss_kb,command
scaling,S,1,seq,1,64,-,0,32x32,32,1800,106651,27612,76433,2606,233.468,0.12970,7709.9,112.405,120.949,0.000,1.0000,1.0000,0.0000,0,0.000,0.006,7d051cde5159b18c,5677673899804325068,0,7732,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend seq"
scaling,S,2,seq,1,64,-,0,32x32,32,1800,106651,27612,76433,2606,245.934,0.13663,7319.0,119.522,126.283,0.000,1.0000,1.0000,0.0000,0,0.000,0.007,7d051cde5159b18c,5677673899804325068,0,7652,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend seq"
scaling,S,3,seq,1,64,-,0,32x32,32,1800,106651,27612,76433,2606,246.619,0.13701,7298.7,118.803,127.694,0.000,1.0000,1.0000,0.0000,0,0.000,0.008,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend seq"
scaling,S,4,seq,1,64,-,0,32x32,32,1800,106651,27612,76433,2606,235.906,0.13106,7630.2,113.651,122.140,0.000,1.0000,1.0000,0.0000,0,0.000,0.006,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend seq"
scaling,S,5,seq,1,64,-,0,32x32,32,1800,106651,27612,76433,2606,247.998,0.13778,7258.1,119.948,127.928,0.000,1.0000,1.0000,0.0000,0,0.000,0.007,7d051cde5159b18c,5677673899804325068,0,7704,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend seq"
scaling,S,1,static,1,64,-,0,32x32,32,1800,106651,27612,76433,2606,275.136,0.15285,6542.2,131.724,143.294,1.362,1.0000,1.0000,0.0000,0,0.000,0.006,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 1"
scaling,S,2,static,1,64,-,0,32x32,32,1800,106651,27612,76433,2606,255.761,0.14209,7037.8,122.991,132.667,1.392,1.0000,1.0000,0.0000,0,0.000,0.013,7d051cde5159b18c,5677673899804325068,0,7676,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 1"
scaling,S,3,static,1,64,-,0,32x32,32,1800,106651,27612,76433,2606,250.678,0.13927,7180.5,120.821,129.756,1.271,1.0000,1.0000,0.0000,0,0.000,0.007,7d051cde5159b18c,5677673899804325068,0,7484,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 1"
scaling,S,4,static,1,64,-,0,32x32,32,1800,106651,27612,76433,2606,263.780,0.14654,6823.9,126.644,137.018,1.291,1.0000,1.0000,0.0000,0,0.000,0.007,7d051cde5159b18c,5677673899804325068,0,7720,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 1"
scaling,S,5,static,1,64,-,0,32x32,32,1800,106651,27612,76433,2606,252.301,0.14017,7134.3,121.081,131.119,1.299,1.0000,1.0000,0.0000,0,0.000,0.008,7d051cde5159b18c,5677673899804325068,0,7676,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 1"
